person,word,freq
collins,he,4
collins,in,4
collins,is,4
collins,meeting,4
collins,mr,4
collins,not,4
collins,request,4
collins,should,4
collins,statement,4
collins,very,4
collins,were,4
collins,at,3
collins,be,3
collins,by,3
collins,conversations,3
collins,counterintelligence,3
collins,flynn,3
collins,me,3
collins,michael,3
collins,on,3
collins,or,3
collins,personally,3
collins,told,3
collins,we,3
collins,again,2
collins,any,2
collins,anyone,2
collins,are,2
collins,as,2
collins,ask,2
collins,been,2
collins,but,2
collins,call,2
collins,congressional,2
collins,copies,2
collins,could,2
collins,department,2
collins,from,2
collins,i,2
collins,investigating,2
collins,investigations,2
collins,january,2
collins,justice,2
collins,kind,2
collins,leaders,2
collins,made,2
collins,making,2
collins,memo,2
collins,never,2
collins,our,2
collins,response,2
collins,said,2
collins,show,2
collins,such,2
collins,testimony,2
collins,thank,2
collins,there,2
collins,under,2
collins,volunteered,2
collins,write,2
collins,27th,1
collins,30th,1
collins,6th,1
collins,9th,1
collins,according,1
collins,actually,1
collins,alone,1
collins,also,1
collins,appear,1
collins,appears,1
collins,appreciation,1
collins,asked,1
collins,asking,1
collins,assist,1
collins,assurance,1
collins,attorney,1
collins,before,1
collins,begin,1
collins,better,1
collins,bit,1
collins,briefed,1
collins,broader,1
collins,broadly,1
collins,careful,1
collins,chairman,1
collins,clear,1
collins,cleared,1
collins,comey,1
collins,committee,1
collins,compliance,1
collins,compromise,1
collins,conversation,1
collins,correct,1
collins,counsel's,1
collins,create,1
collins,criminal,1
collins,decided,1
collins,dinner,1
collins,discussed,1
collins,dismissal,1
collins,don't,1
collins,done,1
collins,during,1
collins,ever,1
collins,explain,1
collins,far,1
collins,finally,1
collins,for,1
collins,fundamental,1
collins,general,1
collins,good,1
collins,government,1
collins,great,1
collins,guy,1
collins,house,1
collins,i'd,1
collins,i'm,1
collins,important,1
collins,inappropriate,1
collins,information,1
collins,insulated,1
collins,investigate,1
collins,it's,1
collins,later,1
collins,leave,1
collins,length,1
collins,like,1
collins,limit,1
collins,limited,1
collins,limiting,1
collins,make,1
collins,march,1
collins,may,1
collins,memorializing,1
collins,memos,1
collins,mentioned,1
collins,might,1
collins,more,1
collins,my,1
collins,narrative,1
collins,no,1
collins,now,1
collins,office,1
collins,okay,1
collins,operation,1
collins,outside,1
collins,part,1
collins,phone,1
collins,political,1
collins,presidents,1
collins,pressure,1
collins,previous,1
collins,puzzled,1
collins,question,1
collins,reflection,1
collins,regard,1
collins,remain,1
collins,reminded,1
collins,reported,1
collins,room,1
collins,saying,1
collins,sessions,1
collins,stunned,1
collins,talked,1
collins,talking,1
collins,thanking,1
collins,them,1
collins,then,1
collins,three,1
collins,time,1
collins,today,1
collins,trump,1
collins,trying,1
collins,turn,1
collins,two,1
collins,understand,1
collins,understanding,1
collins,underway,1
collins,upon,1
collins,us,1
collins,voluntary,1
collins,want,1
collins,went,1
collins,what,1
collins,when,1
collins,whether,1
collins,white,1
collins,who,1
collins,whom,1
collins,why,1
collins,wittes,1
comey,the,557
comey,i,522
comey,to,365
comey,that,254
comey,of,249
comey,and,212
comey,was,211
comey,it,209
comey,a,189
comey,in,130
comey,is,101
comey,he,97
comey,don't,94
comey,me,87
comey,on,83
comey,about,79
comey,be,77
comey,not,77
comey,we,77
comey,but,75
comey,my,75
comey,with,75
comey,what,71
comey,no,70
comey,as,65
comey,know,64
comey,president,64
comey,you,64
comey,at,60
comey,had,60
comey,this,60
comey,for,59
comey,yes,59
comey,investigation,58
comey,have,56
comey,that's,56
comey,think,55
comey,so,53
comey,an,52
comey,said,52
comey,fbi,50
comey,there,48
comey,him,46
comey,because,44
comey,going,41
comey,i'm,39
comey,sir,37
comey,would,37
comey,do,36
comey,way,34
comey,didn't,32
comey,all,31
comey,general,31
comey,if,31
comey,our,29
comey,very,29
comey,did,28
comey,it's,28
comey,when,28
comey,any,27
comey,correct,27
comey,his,25
comey,one,25
comey,say,25
comey,time,25
comey,attorney,24
comey,were,24
comey,can,23
comey,just,23
comey,sure,23
comey,call,22
comey,or,22
comey,out,22
comey,something,22
comey,again,21
comey,are,21
comey,will,21
comey,answer,20
comey,been,20
comey,could,20
comey,people,20
comey,they,20
comey,well,20
comey,conversation,19
comey,then,19
comey,want,19
comey,asked,18
comey,by,18
comey,get,18
comey,open,18
comey,question,18
comey,here,17
comey,how,17
comey,important,17
comey,make,17
comey,other,17
comey,russia,17
comey,some,17
comey,them,17
comey,work,17
comey,fired,16
comey,good,16
comey,person,16
comey,remember,16
comey,things,16
comey,whether,16
comey,campaign,15
comey,can't,15
comey,conversations,15
comey,setting,15
comey,up,15
comey,why,15
comey,director,14
comey,from,14
comey,great,14
comey,might,14
comey,which,14
comey,told,13
comey,go,12
comey,like,12
comey,should,12
comey,talk,12
comey,there's,12
comey,thing,12
comey,those,12
comey,where,12
comey,wrong,12
comey,before,11
comey,deputy,11
comey,doing,11
comey,fair,11
comey,first,11
comey,hope,11
comey,i've,11
comey,matter,11
comey,nature,11
comey,part,11
comey,point,11
comey,sense,11
comey,thought,11
comey,us,11
comey,classified,10
comey,counsel,10
comey,dinner,10
comey,got,10
comey,has,10
comey,justice,10
comey,sitting,10
comey,subject,10
comey,view,10
comey,we're,10
comey,who,10
comey,after,9
comey,american,9
comey,back,9
comey,believe,9
comey,case,9
comey,context,9
comey,effort,9
comey,government,9
comey,he's,9
comey,job,9
comey,judgment,9
comey,look,9
comey,president's,9
comey,reason,9
comey,saying,9
comey,senator,9
comey,took,9
comey,word,9
comey,am,8
comey,being,8
comey,big,8
comey,department,8
comey,done,8
comey,flynn,8
comey,looking,8
comey,over,8
comey,russians,8
comey,see,8
comey,states,8
comey,than,8
comey,thank,8
comey,they're,8
comey,understood,8
comey,united,8
comey,wanted,8
comey,words,8
comey,your,8
comey,against,7
comey,already,7
comey,between,7
comey,briefing,7
comey,called,7
comey,chief,7
comey,circumstances,7
comey,clinton,7
comey,close,7
comey,concern,7
comey,counterintelligence,7
comey,fact,7
comey,given,7
comey,information,7
comey,intelligence,7
comey,into,7
comey,investigative,7
comey,its,7
comey,knew,7
comey,least,7
comey,made,7
comey,mission,7
comey,much,7
comey,never,7
comey,now,7
comey,special,7
comey,stay,7
comey,talked,7
comey,tapes,7
comey,team,7
comey,understand,7
comey,wasn't,7
comey,you're,7
comey,although,6
comey,americans,6
comey,aware,6
comey,bob,6
comey,briefed,6
comey,concerned,6
comey,confused,6
comey,criminal,6
comey,difficult,6
comey,down,6
comey,either,6
comey,far,6
comey,give,6
comey,happened,6
comey,head,6
comey,impression,6
comey,led,6
comey,lots,6
comey,loyalty,6
comey,matters,6
comey,maybe,6
comey,mind,6
comey,more,6
comey,mr,6
comey,mueller,6
comey,need,6
comey,night,6
comey,personally,6
comey,really,6
comey,report,6
comey,seen,6
comey,sorry,6
comey,staff,6
comey,statement,6
comey,take,6
comey,talking,6
comey,tried,6
comey,TRUE,6
comey,trump,6
comey,try,6
comey,trying,6
comey,two,6
comey,whole,6
comey,yeah,6
comey,'16,5
comey,acting,5
comey,alone,5
comey,also,5
comey,branch,5
comey,careful,5
comey,combination,5
comey,committee,5
comey,country,5
comey,deal,5
comey,decided,5
comey,document,5
comey,duty,5
comey,election,5
comey,especially,5
comey,exactly,5
comey,facts,5
comey,fbi's,5
comey,find,5
comey,gave,5
comey,heard,5
comey,himself,5
comey,hold,5
comey,honestly,5
comey,i'll,5
comey,including,5
comey,keep,5
comey,kind,5
comey,law,5
comey,leaders,5
comey,legal,5
comey,lot,5
comey,may,5
comey,myself,5
comey,office,5
comey,private,5
comey,public,5
comey,recollection,5
comey,request,5
comey,room,5
comey,same,5
comey,she,5
comey,significant,5
comey,spoke,5
comey,such,5
comey,tell,5
comey,term,5
comey,their,5
comey,touch,5
comey,turned,5
comey,understanding,5
comey,11th,4
comey,actually,4
comey,administration,4
comey,always,4
comey,another,4
comey,anything,4
comey,appointment,4
comey,april,4
comey,brief,4
comey,chairman,4
comey,clear,4
comey,come,4
comey,comes,4
comey,comment,4
comey,confidence,4
comey,congress,4
comey,consider,4
comey,contact,4
comey,created,4
comey,day,4
comey,direct,4
comey,doubt,4
comey,during,4
comey,each,4
comey,every,4
comey,focus,4
comey,foreign,4
comey,friend,4
comey,guess,4
comey,happen,4
comey,house,4
comey,i'd,4
comey,interacting,4
comey,intrusion,4
comey,investigating,4
comey,leadership,4
comey,learned,4
comey,left,4
comey,meant,4
comey,media,4
comey,nonsense,4
comey,number,4
comey,obama,4
comey,obviously,4
comey,often,4
comey,opening,4
comey,order,4
comey,organization,4
comey,particular,4
comey,party,4
comey,president-elect,4
comey,pressure,4
comey,primary,4
comey,probably,4
comey,protect,4
comey,reasons,4
comey,recall,4
comey,record,4
comey,relationship,4
comey,repeatedly,4
comey,reported,4
comey,resign,4
comey,right,4
comey,risk,4
comey,run,4
comey,russian,4
comey,saw,4
comey,second,4
comey,security,4
comey,senior,4
comey,serious,4
comey,sort,4
comey,testimony,4
comey,three,4
comey,using,4
comey,white,4
comey,working,4
comey,years,4
comey,you've,4
comey,--,3
comey,5th,3
comey,6th,3
comey,agree,3
comey,asking,3
comey,away,3
comey,based,3
comey,behalf,3
comey,better,3
comey,both,3
comey,bureau,3
comey,bush,3
comey,change,3
comey,clearly,3
comey,colleagues,3
comey,common,3
comey,communications,3
comey,completed,3
comey,concluded,3
comey,confirmed,3
comey,connection,3
comey,consideration,3
comey,contacts,3
comey,coordination,3
comey,credibility,3
comey,cyber,3
comey,direction,3
comey,earlier,3
comey,efforts,3
comey,else,3
comey,enforcement,3
comey,enough,3
comey,exact,3
comey,executive,3
comey,experience,3
comey,experienced,3
comey,explained,3
comey,feeling,3
comey,felt,3
comey,few,3
comey,figure,3
comey,former,3
comey,fuzz,3
comey,getting,3
comey,hard,3
comey,helicopter,3
comey,her,3
comey,high,3
comey,honest,3
comey,initial,3
comey,interest,3
comey,issue,3
comey,january,3
comey,july,3
comey,knowing,3
comey,late,3
comey,lead,3
comey,leader,3
comey,let,3
comey,long,3
comey,many,3
comey,march,3
comey,mccabe,3
comey,members,3
comey,memory,3
comey,message,3
comey,moment,3
comey,mueller's,3
comey,national,3
comey,needed,3
comey,next,3
comey,oh,3
comey,ongoing,3
comey,only,3
comey,opened,3
comey,oval,3
comey,own,3
comey,phone,3
comey,place,3
comey,political,3
comey,possible,3
comey,press,3
comey,publicly,3
comey,questions,3
comey,read,3
comey,reasonable,3
comey,recorded,3
comey,recuse,3
comey,responsibility,3
comey,rest,3
comey,rid,3
comey,share,3
comey,shortly,3
comey,sit,3
comey,specifically,3
comey,still,3
comey,taking,3
comey,theory,3
comey,thinking,3
comey,through,3
comey,throughout,3
comey,top,3
comey,under,3
comey,use,3
comey,variety,3
comey,we'd,3
comey,whatever,3
comey,wife,3
comey,within,3
comey,workforce,3
comey,wouldn't,3
comey,write,3
comey,wrote,3
comey,you'll,3
comey,'15,2
comey,2016,2
comey,30th,2
comey,6:00,2
comey,abstract,2
comey,access,2
comey,account,2
comey,accounts,2
comey,accurate,2
comey,act,2
comey,action,2
comey,agents,2
comey,aggressive,2
comey,aim,2
comey,allegation,2
comey,along,2
comey,america,2
comey,anymore,2
comey,anyone,2
comey,appointed,2
comey,aren't,2
comey,around,2
comey,assume,2
